policy,subject_hash,fold,step,action,true_class,modal_class,posterior_entropy,info_gain_step,info_gain_cumulative,decision_argmax,decision_correct,alpha_neg,alpha_neu,alpha_pos
E_only,b17ef6d19c7a5b1e,0,7,E_only,1,0,0.7868354618074183,-0.017391308792404803,0.3117768268606915,2,0,1.364443408305907,1.4348822940857369,7.200674297608356
E_only,b17ef6d19c7a5b1e,0,8,E_only,0,0,0.745146203512987,0.041689258294431264,0.3534660851551228,2,0,1.3666780508026637,1.4428469115989122,8.190475037598423
E_only,b17ef6d19c7a5b1e,0,9,E_only,1,0,0.7623092856638919,-0.017163082150904896,0.3363030030042179,2,0,1.5433131487137253,1.6403765148588423,8.816310336427431
E_only,b17ef6d19c7a5b1e,0,10,E_only,1,0,0.7764367164118731,-0.014127430747981173,0.3221755722562367,2,0,1.7199482466247868,1.8379061181187724,9.44214563525644
D_only,b17ef6d19c7a5b1e,0,1,D_only,0,0,1.0742882403226965,0.02432404834541302,0.02432404834541324,1,0,1.0439850524915253,1.74414941188448,1.211865535623995
D_only,b17ef6d19c7a5b1e,0,2,D_only,0,0,1.036830071213127,0.03745816910956945,0.06178221745498269,1,0,1.0879701049830506,2.48829882376896,1.4237310712479898
D_only,b17ef6d19c7a5b1e,0,3,D_only,0,0,1.0021820150570964,0.034648056156030727,0.09643027361101342,1,0,1.1319551574745759,3.23244823565344,1.6355966068719847
D_only,b17ef6d19c7a5b1e,0,4,D_only,0,0,0.9724845085327478,0.02969750652434855,0.12612778013536197,1,0,1.1759402099661012,3.97659764753792,1.8474621424959796
D_only,b17ef6d19c7a5b1e,0,5,D_only,0,0,0.9473704644063902,0.02511404412635765,0.15124182426171962,1,0,1.2199252624576264,4.7207470594224,2.0593276781199745
D_only,b17ef6d19c7a5b1e,0,6,D_only,1,0,0.9743327531692803,-0.026962288762890085,0.12427953549882953,1,0,1.2221485167215878,4.761575456326503,3.01627602695191
D_only,b17ef6d19c7a5b1e,0,7,D_only,1,0,0.97610996329931,-0.0017772101300297383,0.12250232536879979,1,0,1.224371770985549,4.802403853230607,3.9732243757838455
D_only,b17ef6d19c7a5b1e,0,8,D_only,0,0,0.9620028538629174,0.014107109436392595,0.1366094348051924,1,0,1.2683568234770743,5.546553265115087,4.18508991140784
D_only,b17ef6d19c7a5b1e,0,9,D_only,1,0,0.9568025714280047,0.005200282434912662,0.14180971724010505,1,0,1.2705800777410357,5.58738166201919,5.142038260239776
