subject_hash,condition,y,kappa,kappa_null_mean,p_value,reject_at_0p05
0fd42b3f73c448b3,Negative,0,0.12839907432605288,0.16597770870100179,0.7624475104979004,False
0fd42b3f73c448b3,Neutral,1,0.37432874892879275,0.16172948342911178,0.005398920215956809,True
0fd42b3f73c448b3,Pleasant,2,0.22642398865198934,0.16438299736051246,0.14517096580683864,False
9bdb2af6799204a2,Negative,0,0.25202147709549794,0.1591576161678513,0.10697860427914417,False
9bdb2af6799204a2,Neutral,1,0.5951537401882063,0.1607324654102003,0.0001999600079984003,True
9bdb2af6799204a2,Pleasant,2,0.397404443580842,0.1643312101268626,0.0007998400319936012,True
b1556dea32e9d0cd,Negative,0,0.17873326249078217,0.15996544189445627,0.3285342931413717,False
b1556dea32e9d0cd,Neutral,1,0.35118874053976024,0.16304849400486157,0.009198160367926415,True
b1556dea32e9d0cd,Pleasant,2,0.2590607271936587,0.16182015667413374,0.08798240351929613,False
6c658ee83fb7e812,Negative,0,0.5302640479608431,0.1581439191672373,0.0001999600079984003,True
6c658ee83fb7e812,Neutral,1,0.17276599160880785,0.1628491254982423,0.3815236952609478,False
6c658ee83fb7e812,Pleasant,2,0.2741337258840753,0.15496509608454234,0.07998400319936012,False
28dae7c8bde2f3ca,Negative,0,0.46678724420558293,0.16157404200822376,0.0009998000399920016,True
28dae7c8bde2f3ca,Neutral,1,0.5041221549895671,0.15657554269838453,0.0011997600479904018,True
28dae7c8bde2f3ca,Pleasant,2,0.3946824711468829,0.1581111193808016,0.00599880023995201,True
85daaf6f7055cd57,Negative,0,0.2711986510343144,0.16409558642027924,0.03479304139172166,True
85daaf6f7055cd57,Neutral,1,0.14245730254179273,0.16460481499789337,0.624875024995001,False
85daaf6f7055cd57,Pleasant,2,0.28875942276542543,0.16353740022204957,0.03699260147970406,True
2abaca4911e68fa9,Negative,0,0.21145429527297127,0.16368145920794805,0.1959608078384323,False
2abaca4911e68fa9,Neutral,1,0.11347822767563717,0.1639468186396405,0.8110377924415118,False
2abaca4911e68fa9,Pleasant,2,0.1923640132329927,0.16665878179170063,0.28774245150969807,False
89aa1e580023722d,Negative,0,0.3221819403399657,0.15994107181703066,0.02579484103179364,True
89aa1e580023722d,Neutral,1,0.1266633114361375,0.15938117811038527,0.6302739452109578,False
89aa1e580023722d,Pleasant,2,0.22646684469925477,0.16485666337548674,0.13737252549490103,False
a665a45920422f9d,Negative,0,0.22487576121517686,0.16398262924040818,0.14397120575884823,False
a665a45920422f9d,Neutral,1,0.30015423971593336,0.1638128586998388,0.019396120775844832,True
a665a45920422f9d,Pleasant,2,0.19822391713649304,0.15946255378012125,0.23815236952609478,False
