router,seed,fold,ptype,level,balanced_accuracy,macro_f1
fixed_A5,42,0,graph_perturbation,0.2,0.39534883720930236,0.2882080254961611
fixed_A6,42,0,graph_perturbation,0.2,0.45736434108527124,0.4567786902200676
fixed_A7,42,0,graph_perturbation,0.2,0.434108527131783,0.4346001645779937
fixed_A8,42,0,graph_perturbation,0.2,0.441860465116279,0.44127029052733097
fixed_A9,42,0,graph_perturbation,0.2,0.44961240310077516,0.4489331257763731
oracle,42,0,graph_perturbation,0.2,0.8527131782945737,0.8497820884641595
perturbation_label,42,0,graph_perturbation,0.2,0.49612403100775193,0.4935265156784145
fixed_A0,42,0,graph_perturbation,0.3,0.49612403100775193,0.4935265156784145
fixed_A1,42,0,graph_perturbation,0.3,0.42635658914728686,0.42495491746428077
fixed_A2,42,0,graph_perturbation,0.3,0.35658914728682173,0.3553755250888612
fixed_A3,42,0,graph_perturbation,0.3,0.3333333333333333,0.16666666666666666
fixed_A5,42,0,graph_perturbation,0.3,0.4186046511627907,0.30902701515484293
fixed_A6,42,0,graph_perturbation,0.3,0.45736434108527124,0.4567786902200676
fixed_A7,42,0,graph_perturbation,0.3,0.42635658914728686,0.4268270944741533
fixed_A8,42,0,graph_perturbation,0.3,0.441860465116279,0.441860465116279
fixed_A9,42,0,graph_perturbation,0.3,0.441860465116279,0.441860465116279
oracle,42,0,graph_perturbation,0.3,0.8449612403100776,0.8416520071633465
perturbation_label,42,0,graph_perturbation,0.3,0.49612403100775193,0.4935265156784145
fixed_A0,42,1,clean,clean,0.4841269841269842,0.479605039155601
fixed_A1,42,1,clean,clean,0.4761904761904761,0.47826086956521735
fixed_A2,42,1,clean,clean,0.4603174603174603,0.4583694083694083
fixed_A3,42,1,clean,clean,0.36507936507936506,0.3650072591987659
fixed_A5,42,1,clean,clean,0.4444444444444444,0.44503389330975535
fixed_A6,42,1,clean,clean,0.5,0.4985083750931913
fixed_A7,42,1,clean,clean,0.4761904761904761,0.4784957579057212
fixed_A8,42,1,clean,clean,0.4761904761904762,0.4760401721664275
fixed_A9,42,1,clean,clean,0.48412698412698413,0.48337519920049693
oracle,42,1,clean,clean,0.9126984126984127,0.9126623990492396
perturbation_label,42,1,clean,clean,0.4841269841269842,0.479605039155601
fixed_A0,42,1,amplitude_noise,20,0.4761904761904762,0.46947473689223296
fixed_A1,42,1,amplitude_noise,20,0.4682539682539682,0.4707818930041152
fixed_A2,42,1,amplitude_noise,20,0.4047619047619048,0.40156644099296424
fixed_A3,42,1,amplitude_noise,20,0.35714285714285715,0.3588479554891894
fixed_A5,42,1,amplitude_noise,20,0.4365079365079365,0.43701507831942615
fixed_A6,42,1,amplitude_noise,20,0.4603174603174603,0.45745633676668157
fixed_A7,42,1,amplitude_noise,20,0.4523809523809524,0.45782163742690063
fixed_A8,42,1,amplitude_noise,20,0.3888888888888889,0.38912938912938916
fixed_A9,42,1,amplitude_noise,20,0.3968253968253968,0.39407431650768326
oracle,42,1,amplitude_noise,20,0.9761904761904762,0.9761836441893831
perturbation_label,42,1,amplitude_noise,20,0.4761904761904762,0.46947473689223296
